Название,Телефон,Адрес,Ссылка
KAZANOVA academy,8‒800‒3333‒004,"Улица Кирова, 10813 филиалов
Октябрьский район, Новосибирск, 630009","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001026488416/82.914369,55.038544"
2S intim shop,+7‒923‒230‒31‒49,"Улица Чаплыгина, 93205А офис; 2 этаж
Центральный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/sexshop/page/2/firm/70000001081072416/82.953208,55.012438"
Доктор Любви,8‒800‒775‒70‒64,"Отель НовосибирскВокзальная магистраль, 11 этаж12 филиалов
Челюскинский ж/м, Железнодорожный район, Новосибирск, 630004","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001025116603/82.927653,55.026797"
Доктор Любви,8‒800‒775‒70‒64,"Горский микрорайон, 64225 офис; 2 этаж12 филиалов
Горский ж/м, Ленинский район, Новосибирск, 630032","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001052544541/82.901053,55.035317"
KAZANOVA academy,8‒800‒3333‒004,"Улица Гоголя, 71 этаж13 филиалов
Центральный район, Новосибирск, 630091","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/141265771406692/82.893571,54.993173"
Доктор Любви,8‒800‒775‒70‒64,"Улица Гурьевская, 5512 филиалов
Октябрьский район, Новосибирск, 630008","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/141265771636600/82.918065,55.042719"
Доктор Любви,8‒800‒775‒70‒64,"Красный проспект, 1881 этаж12 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001043892410/82.952639,55.014448"
Интим бутик,+7‒913‒012‒20‒20,"Урицкого, 241 этаж; аптека Доктор Столетов
Тихий центр м-н, Железнодорожный район, Новосибирск, 630099","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001036370743/82.915016,55.060032"
Доктор Любви,8‒800‒775‒70‒64,"Улица Блюхера, 72 этаж12 филиалов
Ленинский район, Новосибирск, 630078","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001083764681/82.913356,55.029237"
Доктор Любви,8‒800‒775‒70‒64,"Улица Гоголя, 383 павильон; цокольный этаж; центр Маршал12 филиалов
Фрунзенский м-н, Центральный район, Новосибирск, 630005","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001035691735/82.889139,54.983717"
Love Shop Perchik,+7‒999‒462‒31‒00,"Проспект Карла Маркса, 131 этаж
Башня ж/м, Ленинский район, Новосибирск, 630073","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001007254580/82.935021,55.043466"
Доктор Любви,8‒800‒775‒70‒64,"Красный проспект, 1551 этаж12 филиалов
Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/141265770700014/82.898524,54.984782"
Juliana,+7 (383) 264‒15‒50,"БЦ ОмегаУлица Бориса Богаткова, 228/1311 офис; 3 этаж
Золотая Нива м-н, Октябрьский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/70000001025067277/82.912595,55.057477"
Соблазн,+7‒923‒470‒86‒46,"Улица Никитина, 49/12 филиала
Октябрьский район, Новосибирск, 630008","https://2gis.ru/novosibirsk/search/sexshop/page/3/firm/141265770966366/82.980328,55.034638"
Интим-Маркет,8‒800‒551‒91‒13,"Улица Титова, 31 этаж2 филиала
Ленинский район, Новосибирск, 630048","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001081203467/82.959997,55.012711"
Доктор Любви,8‒800‒775‒70‒64,"ТЦ Золотая НиваУлица Бориса Богаткова, 239133 павильон; 1 этаж12 филиалов
Золотая Нива м-н, Дзержинский район, Новосибирск, 630089","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/141265769524603/82.887556,54.981928"
Доктор Любви,8‒800‒775‒70‒64,"ОлимпияГалущака, 2а302 офис; 3 этаж12 филиалов
Линейный м-н, Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001019434345/82.977969,55.038244"
Дон Феромон,+7‒913‒733‒54‒45,"Залесского, 8/13 филиала
Заельцовский район, Новосибирск, 630075","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/141265769817592/82.902773,55.051643"
s-shop24.ru,8‒800‒700‒60‒85,,"https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001079753364/82.92528,55.068928"
Андрей. Бизнес для взрослых,+7 (383) 349‒22‒02,"Троллейная, 211 этаж; справа от супермаркета Магнит
Ленинский район, Новосибирск, 630136",https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001019085849
Большой,8‒800‒250‒92‒11,,"https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001039042829/82.859254,54.984444"
Toys for love,+7 (3822) 94‒51‒73,,https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001045910369
Азбука любви,+7 (383) 343‒04‒78,"Улица Титова, 301 этаж2 филиала
Ленинский район, Новосибирск, 630054",https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001062357927
Интим молл,8‒800‒775‒89‒65,"ОлимпияГалущака, 2а302 офис; 3 этаж
Линейный м-н, Заельцовский район, Новосибирск, 630049","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/141265769762777/82.870286,54.982171"
Доктор Любви,8‒800‒775‒70‒64,"Улица Титова, 2001 этаж12 филиалов
Западный м-н, Ленинский район, Новосибирск, 630120","https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001025576156/82.902773,55.051643"
Джага-джага,,,"https://2gis.ru/novosibirsk/search/sexshop/page/4/firm/70000001017181223/82.826688,54.981694"
Perchik,,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001065402978
Дон Феромон,+7‒913‒733‒39‒66,"Улица Шмидта, 43 филиала
Первомайский район, Новосибирск, 630046",https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001066380080
Адонис,+7‒903‒932‒66‒56,"Универмаг ЮбилейныйУлица Объединения, 803 этаж
Юбилейный ж/м, Калининский район, Новосибирск, 630027","https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001057574287/83.08026,54.974345"
Puper.ru,8‒800‒500‒13‒02,,"https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001023004058/82.962415,55.095873"
MakeMeHappy,+7 (831) 414‒19‒30,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001024853577
Интимия,8‒800‒300‒56‒04,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001063403133
Elite-Sexshop,8‒800‒100‒55‒27,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001045221653
Нестыдно.ру,8‒800‒700‒27‒69,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001046825524
Нестыдно.ру,+7 (343) 311‒49‒69,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001052452828
Xdolls,+7 (499) 994‒99‒49,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001053009184
Точка G,+7‒952‒854‒77‒27,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001059399208
Incognito,+7 (861) 206‒66‒06,,https://2gis.ru/novosibirsk/search/sexshop/page/5/firm/70000001064085852
Love is,,,https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001065366566
Yousensation.ru,,,https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001075153114
IntimoAmore.ru,8‒800‒550‒20‒01,,https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001082553319
Эролайф,8‒800‒700‒83‒23,,https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001083289357
Охи-Ахи,,,https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001084282721
Доктор Любви,8‒800‒775‒70‒64,"Кочубея, 4/112 филиалов
Калининский район, Новосибирск, 630129",https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001086890633
KAZANOVA academy,8‒800‒3333‒004,"Ильича, 6а2 этаж13 филиалов
Верхняя зона Академгородка м-н, Советский район, Новосибирск, 630090","https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001024406630/83.094549,54.840202"
KAZANOVA academy,8‒800‒3333‒004,"Посёлок Кольцово, 192 этаж13 филиалов
рп. Кольцово, рп. Кольцово городской округ, Новосибирская область, 630559","https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001024406630/83.094549,54.840202?m=83.094549,54.840202/11"
ДеньНочь,+7‒913‒932‒90‒91,"Бердское шоссе, 2771 этаж
Шлюз м-н, Советский район, Новосибирск, 630058","https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001080615293/83.18808,54.940588?m=83.094549,54.840202/11"
KAZANOVA academy,8‒800‒3333‒004,"Лелюха, 131 этаж13 филиалов
Бердск, Новосибирская область, 633010","https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001022784781/83.064108,54.847427?m=83.094549,54.840202/11"
Под кожей,+7‒952‒909‒69‒69,"Рабочая, 40/1
с. Боровое, Новосибирский район, Новосибирская область, 630524","https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001076741861/82.630751,54.697796?m=83.094549,54.840202/11"
Под кожей,8‒800‒707‒46‒69,,"https://2gis.ru/novosibirsk/search/sexshop/page/6/firm/70000001076741861/82.630751,54.697796?m=82.630751,54.697796/11"
